galaxy,r_kpc,x,y,Rd_kpc
F568-V1,2.74,0.7342265529841657,0.07714765336467372,3.731818181818182
F568-V1,3.53,0.945919610231425,0.07116026206542071,3.731818181818182
F568-V1,4.3,1.1522533495736906,0.06688305186537606,3.731818181818182
F568-V1,5.09,1.36394640682095,0.06679939151378853,3.731818181818182
F568-V1,5.87,1.5729598051157125,0.06283941505616952,3.731818181818182
F568-V1,6.4,1.7149817295980512,0.058554744569396674,3.731818181818182
F568-V1,7.44,1.9936662606577344,0.049708141255140996,3.731818181818182
F568-V1,8.21,2.2,0.04363082839016054,3.731818181818182
F568-V1,9.0,2.4116930572472595,0.03882636687447557,3.731818181818182
F568-V1,9.72,2.6046285018270403,0.0356023510053503,3.731818181818182
F568-V1,11.79,3.1593179049939097,0.029732367280674417,3.731818181818182
F568-V1,17.63,4.724238733252131,0.0226171671048845,3.731818181818182
F574-1,0.47,0.0876271186440678,0.009439296964381698,5.363636363636363
F574-1,1.41,0.2628813559322034,0.024476796480367574,5.363636363636363
F574-1,2.35,0.438135593220339,0.038048473046269134,5.363636363636363
F574-1,3.29,0.6133898305084746,0.04612505085967952,5.363636363636363
F574-1,4.22,0.7867796610169492,0.04520719639240866,5.363636363636363
F574-1,5.17,0.9638983050847458,0.04006421464856894,5.363636363636363
F574-1,6.11,1.1391525423728814,0.03547039975152349,5.363636363636363
F574-1,7.05,1.314406779661017,0.03298931619970834,5.363636363636363
F574-1,7.99,1.4896610169491526,0.030278275656257046,5.363636363636363
